WO#,Full Asset Number,Asset Number,Asset Description,Owning Department Code,Description,Description_google_translated,Created By,Creation Date,Scheduled Start Date,Scheduled Completion Date,Operation Seq Num,Operation Start Date,Department Code,Description,Resource Seq Num,Resource,Est Hours,Assigned Units SUM,Completed Hours,Quantity Open,Date Completed,Actual Start Date,Last Update Date,User Name,WO Status,Work Order Status,Priority Disp,Plan Maintenance,Work Order Type Disp,Shutdown Type Disp,Activity,ACTIVITY TYPE,Activity Source Meaning,Activity Cause Disp,Tagout Required,Attribute2,Requirement Code,Parent Work Order,Child Work Order,Relationship Type,Relationship Status Code,Creation Date,Completion Comments,Comments Continued1,Comments Continued2
3003419,PV1-1123-TRH0403-ENG,403,ENGINE HAULTRUCK CATERPILLAR 789C 403,MM3,CORREGIR FALLA BAJA POTENCIA DEL MOTOR.,CORRECTION FAILS LOW ENGINE POWER.,37470,02-Jan-16,02-Jan-16,02-Jan-16,10,01-02-16 13:37,MM3,CORREGIR FALLA BAJA POTENCIA DEL MOTOR.,10,MMTECH,4,2,4,NULL,02-Jan-16,02-Jan-16,18-Jan-16,EDMENA,Closed,Closed,0 - Immediate,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,INSPECCION DE FILTROS DE ADMISION DE AIRE Y COMBUSTIBLE. VERIFICACION DE EVENTOS Y CALADO DE MAQUINA PARA PRUEBA DINAMICA.,NULL,NULL
3003486,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,CORREGIR FUGA POR TUBERIA DE SUCCION DE LA BOMBA DE DIRECCION.,CORRECTION LEAK PUMP FOR SUCTION PIPE OF STEERING PUMP.,37470,02-Jan-16,02-Jan-16,02-Jan-16,20,01-02-16 17:09,MM7,REPARAR TUBERIA DE SUCCION DE LA BOMBA DE DIRECCION.,20,MMWELD,1,1,1,NULL,02-Jan-16,02-Jan-16,18-Jan-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,DEL COMP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3003822,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,CAMBIAR TUBERIA DE SECCION DE LA BOMBA DE STEERING.,CHANGE STEERING PUMP SECTION PIPE.,37470,03-Jan-16,03-Jan-16,03-Jan-16,10,01-03-16 6:21,MM3,CAMBIAR TUBERIA DE SECCION DE LA BOMBA DE STEERING.,10,MMTECH,4,2,NULL,4,03-Jan-16,03-Jan-16,04-Mar-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,Revisada NB,NULL,NULL
3009017,PV1-1123-TRH0403-IMP-BED,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,montaje de soporte de cable de seguridad en la parte posterior de la tolva,Mounting safety cable support on the back of the hopper,28726,06-Jan-16,09-Feb-16,09-Feb-16,10,02-09-16 15:51,MM7,montaje de soporte de cable de seguridad en la parte posterior de la tolva,10,MMWELD,2,2,2,NULL,09-Feb-16,09-Feb-16,24-Feb-16,EDMENA,Closed,Closed,3 - Due less than 30 days,Y,PM - Preventative,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,COMPLETADA SIN DOCUMENTOS PARA LIMPIAR EL SISTEMA ORDEN DEL SUPERVISOR.,NULL,NULL
3009789,PV1-1123-TRH0403,403,HAULTRUCK CATERPILLAR 789C 403,MM3,Instalar numero de ficha del camion en las zonas laterales de la tolva.,Install truck number on the sides of the hopper.,31314,06-Jan-16,19-Jul-16,19-Jul-16,10,7/19/2016 6:15,MM3,Instalar numero de ficha del camion en las zonas laterales de la tolva.,10,MMTECH,2,2,3,-1,19-Jul-16,19-Jul-16,03-Aug-16,ERNESTOPEREZ,Closed,Closed,2 - Due less than 14 days,N,CM - Corrective,Not Required,NULL,MO-Modify,Production,Normal,Y,NULL,DEL COMP,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3010847,PV1-1123-TRH0403-ACS,403,AIR CONDITIONING SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION A/C EN INSP. 1000 HRS,"INSPECTION A / C IN INSP.†1,000 HRS",30796,07-Jan-16,15-Jan-16,15-Jan-16,10,1/15/2016 8:00,MM12,INSPECCION A/C EN INSP. 1000 HRS,10,MMTEDI,1,1,2,-1,15-Jan-16,15-Jan-16,29-Jan-16,EDMENA,Closed,Closed,3 - Due less than 30 days,N,PM - Preventative,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,se chequeo sistema de a/c,NULL,NULL
3010886,PV1-1123-TRH0403-TIR,403,TIRE SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,INSPECTION OF TIRES IN PREVENTIVE MAINTENANCE,36886,07-Jan-16,15-Jan-16,15-Jan-16,10,1/15/2016 7:00,MM9,INSPECCION DE LLANTAS EN MANTENIMIENTO PREVENTIVO,10,MMTYRE,2,2,1,1.5,14-Jan-16,14-Jan-16,29-Jan-16,EDMENA,Closed,Closed,3 - Due less than 30 days,Y,PM - Preventative,Required,CAT789CPV180,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,se realizo inspeccion de llantas,NULL,NULL
3010929,PV1-1123-TRH0403-FIRE,403,FIRE SUPRESSION SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 1000 HRS),AFEX FIRE SYSTEM INSPECTION (PM 1000 HRS),30796,07-Jan-16,15-Jan-16,15-Jan-16,10,1/15/2016 9:00,MM12,INSPECCION SISTEMA CONTRA INCENDIO AFEX ( PM 1000 HRS),10,MMTEDI,2,2,2,NULL,15-Jan-16,15-Jan-16,29-Jan-16,EDMENA,Closed,Closed,3 - Due less than 30 days,N,PM - Preventative,Required,NULL,IN-Inspection,Production,Normal,N,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,se chequeo sistema de afex,NULL,NULL
3012897,PV1-1123-TRH0403-HYS-SS,403,STEERING SYSTEM HYDRAULIC SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,REALIZAR ALINEAMIENTO DE LLANTAS DELANTERAS.,PERFORM ALIGNMENT OF FRONT RIMS.,37470,09-Jan-16,09-Jan-16,09-Jan-16,10,01-09-16 12:54,MM3,REALIZAR ALINEAMIENTO DE LLANTAS DELANTERAS.,10,MMTECH,4,2,4,NULL,09-Jan-16,09-Jan-16,25-Jan-16,EDMENA,Closed,Closed,1 - Due less than 7 days,N,CM - Corrective,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,REALIZADO,NULL,NULL
3020119,PV1-1123-TRH0403-IMP-BED,403,BED IMPLEMENTS SYSTEM HAULTRUCK CATERPILLAR 789C 403,MM3,reparacion del lateral superior de la tolva del derecho,Repair of the upper side of the right hopper,28726,14-Jan-16,31-Mar-16,31-Mar-16,10,3/31/2016 8:00,MM7,reparacion del lateral superior de la tolva del derecho,10,MMWELD,14,2,NULL,14,03-Mar-16,03-Mar-16,14-Apr-16,ERNESTOPEREZ,Closed,Closed,3 - Due less than 30 days,Y,PM - Preventative,Required,NULL,RP-Repair,Production,Normal,Y,NULL,REVIEW,NULL,NULL,NULL,NULL,NULL,Revisada. NB,NULL,NULL
